pair_id,ext_id,name,persona,collected_at,source,label,family,obfuscated,rule_score,net_requests,net_hosts,net_third_party_hosts,net_ext_initiated,net_posts,net_upload_bytes,net_max_upload_bytes,net_encoded_params,net_worker_initiated,dom_reads,dom_sensitive_reads,dom_identity_reads,dom_injections,storage_calls,cookie_reads,cookie_bulk_reads,api_calls,api_distinct,api_high_risk,perm_count,perm_high_risk,host_perm_breadth,exfil_flows,exfil_flows_third_party,msg_passing,net_lowrep_hosts,stat_added_highrisk_perms,stat_escalated_broad_host,stat_added_hosts
synthext0000aaaaaaaaaaaaaaaaaaaaaa:1.6.0->1.6.1,synthext0000aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 000,reader,2026-08-14,synthetic,malicious,credential_theft,False,0.9625,3.0,1.0,1.0,3.0,1.0,664.0,664.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0
synthext0000aaaaaaaaaaaaaaaaaaaaaa:1.6.1->1.6.2,synthext0000aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 000,reader,2026-09-29,synthetic,benign,,False,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
synthext0000aaaaaaaaaaaaaaaaaaaaaa:1.6.2->1.6.3,synthext0000aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 000,reader,2026-03-21,synthetic,malicious,sw_beacon,True,0.9064,2.0,2.0,2.0,2.0,2.0,334.0,192.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0000aaaaaaaaaaaaaaaaaaaaaa:1.6.3->1.6.4,synthext0000aaaaaaaaaaaaaaaaaaaaaa,Reader Tool 000,reader,2026-02-10,synthetic,malicious,cookie_theft,False,0.9963,0.0,1.0,1.0,0.0,1.0,1085.0,1085.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
synthext0001aaaaaaaaaaaaaaaaaaaaaa:1.5.0->1.5.1,synthext0001aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 001,shopper,2026-06-16,synthetic,malicious,cookie_theft,False,0.9963,1.0,1.0,1.0,1.0,1.0,2604.0,2604.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
synthext0001aaaaaaaaaaaaaaaaaaaaaa:1.5.1->1.5.2,synthext0001aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 001,shopper,2026-04-30,synthetic,benign,,False,0.25,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthext0001aaaaaaaaaaaaaaaaaaaaaa:1.5.2->1.5.3,synthext0001aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 001,shopper,2026-02-03,synthetic,benign,,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
synthext0001aaaaaaaaaaaaaaaaaaaaaa:1.5.3->1.5.4,synthext0001aaaaaaaaaaaaaaaaaaaaaa,Shopper Tool 001,shopper,2026-07-22,synthetic,malicious,cookie_theft,False,0.9963,1.0,1.0,1.0,1.0,1.0,2628.0,2628.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
synthext0002aaaaaaaaaaaaaaaaaaaaaa:1.0.0->1.0.1,synthext0002aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 002,contacts,2026-07-10,synthetic,malicious,history_exfil,False,0.9607,3.0,2.0,2.0,3.0,1.0,1427.0,1427.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0
synthext0002aaaaaaaaaaaaaaaaaaaaaa:1.0.1->1.0.2,synthext0002aaaaaaaaaaaaaaaaaaaaaa,Contacts Tool 002,contacts,2026-03-09,synthetic,benign,,False,0.55,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0
